name,source,gender,wikidata,type
Geschwister-Scholl-Straße,wikidata,+,Q57820;Q76972,way
Agnes-Smedley-Straße,wikidata,F,Q394649,way
Agneshöhe,wikidata,F,Q89314073,way
Amalie-Dietrich-Platz,wikidata,F,Q76851,way
"An der Herzogin Garten",wikidata,F,Q462156,way
Angelikastraße,wikidata,F,Q123098,way
Anna-Angermann-Straße,wikidata,F,Q89039854,way
Anne-Frank-Straße,wikidata,F,Q4583,way
Auguste-Lazar-Straße,wikidata,F,Q766691,way
Barbarastraße,wikidata,F,Q192816,way
Beilstraße,wikidata,F,Q114753789,way
Bertha-Dißmann-Straße,wikidata,F,Q15429760,way
Bettinastraße,wikidata,F,Q57236,way
Carolabrücke,wikidata,F,Q60380,way
Carolaplatz,wikidata,F,Q60380,way
Caroline-Bardua-Straße,wikidata,F,Q201699,way
Carolinenstraße,wikidata,F,Q242687,way
Carrierastraße,wikidata,F,Q237726,way
Charlotte-Bühler-Straße,wikidata,F,Q67567,way
Charlottenstraße,wikidata,F,Q72642,way
Clara-Viebig-Straße,wikidata,F,Q71465,way
Clara-Zetkin-Straße,wikidata,F,Q75823,way
Coselgasse,wikidata,F,Q76376,way
Dora-Stock-Straße,wikidata,F,Q535431,way
Dora-Zschille-Straße,wikidata,F,Q94738484,way
Dore-Hoyer-Straße,wikidata,F,Q1243822,way
Dorothea-Erxleben-Straße,wikidata,F,Q62931,way
Dorotheenstraße,csv+wikidata,F,Q1035603,way
Droste-Hülshoff-Straße,wikidata,F,Q57307,way
Elfride-Trötschel-Straße,wikidata,F,Q1328577,way
Elfriede-Lohse-Wächtler-Straße,wikidata,F,Q463032,way
Elisabeth-Boer-Straße,wikidata,F,Q1329794,way
Elsa-Brändström-Straße,wikidata,F,Q469673,way
Erna-Berger-Straße,wikidata,F,Q289895,way
Erna-Sack-Straße,wikidata,F,Q72186,way
Etha-Richter-Straße,wikidata,F,Q1371080,way
Eva-Schulze-Knabe-Straße,wikidata,F,Q97467,way
Fanny-Lewald-Straße,wikidata,F,Q77318,way
Franziska-Tiburtius-Straße,wikidata,F,Q98358,way
Friederike-Serre-Weg,wikidata,F,Q1457093,way
Gertrud-Caspari-Straße,wikidata,F,Q1515542,way
Gret-Palucca-Straße,wikidata,F,Q441984,way
Hedwig-Langner-Weg,wikidata,F,Q104527583,way
Hedwigstraße,wikidata,F,Q452932,way
Helena-Rott-Straße,wikidata,F,Q94777535,way
Henriette-Heber-Straße,wikidata,F,Q1529536,way
Hertha-Lindner-Straße,wikidata,F,Q1614691,way
Ingeborg-Bachmann-Straße,wikidata,F,Q78506,way
Inger-Karén-Straße,wikidata,F,Q1663030,way
Josephinenstraße,wikidata,F,Q84276,way
Judeichstraße,wikidata,F,Q62819989,way
Julie-Salinger-Weg,wikidata,F,Q6423453,way
Justinenstraße,wikidata,F,Q1697056,way
Katharinenstraße,wikidata,F,Q69462,way
Käthe-Kollwitz-Platz,wikidata,F,Q142472,way
Käthe-Kollwitz-Straße,wikidata,F,Q142472,way
Käthe-Kollwitz-Ufer,wikidata,F,Q142472,way
Klarastraße,wikidata,F,Q132232,way
Lene-Glatzer-Straße,wikidata,F,Q1601961,way
Liesel-von-Schuch-Straße,wikidata,F,Q94736667,way
Lise-Meitner-Straße,wikidata,F,Q56189,way
Lotte-Meyer-Straße,wikidata,F,Q1372208,way
Louise-Seidler-Straße,wikidata,F,Q1872192,way
Louisenstraße,wikidata,F,Q447111,way
Maria-Cebotari-Straße,wikidata,F,Q263629,way
Maria-Kirch-Straße,wikidata,F,Q77511,way
Maria-Reiche-Straße,wikidata,F,Q213577,way
Marianne-Bruns-Straße,wikidata,F,Q1713604,way
Marie-Curie-Straße,wikidata,F,Q7186,way
Marie-Hankel-Straße,wikidata,F,Q77483,way
Marie-Simon-Straße,wikidata,F,Q969096,way
Marie-Stritt-Straße,wikidata,F,Q101214,way
Marie-Wittich-Straße,wikidata,F,Q6763079,way
Marienallee,wikidata,F,Q235808,way
Marienstraße,wikidata,F,Q57943,way
Marta-Fraenkel-Straße,wikidata,F,Q1333092,way
Mary-Krebs-Straße,wikidata,F,Q1906325,way
Mary-Wigman-Straße,wikidata,F,Q77127,way
Mathildenstraße,wikidata,F,Q62284,way
Maxie-Wander-Straße,wikidata,F,Q89932,way
Melitta-Bentz-Straße,wikidata,F,Q76655,way
Melli-Beese-Straße,wikidata,F,Q97003,way
Merianplatz,wikidata,F,Q62530,way
Mildred-Scheel-Straße,wikidata,F,Q66805,way
Mosczinskystraße,wikidata,F,Q18684270,way
Müller-Berset-Straße,wikidata,F,Q101527117,way
Neuberinstraße,wikidata,F,Q68316,way
Reckestraße,wikidata,F,Q72451,way
Ricarda-Huch-Straße,wikidata,F,Q60785,way
Rosa-Luxemburg-Platz,wikidata,F,Q7231,way
Rosa-Menzer-Straße,wikidata,F,Q17126717,way
Rosa-Steinhart-Straße,wikidata,F,Q74249543,way
Schevenstraße,wikidata,F,Q1735978,way
Sidonienstraße,wikidata,F,Q24022917,way
Silberweg,wikidata,F,Q99440482,way
Sophienstraße,wikidata,F,Q462156,way
Stephanienplatz,wikidata,F,Q62024,way
Stephanienstraße,wikidata,F,Q62024,way
Suttnerstraße,wikidata,F,Q18456,way
Therese-Malten-Straße,wikidata,F,Q98026,way
Theresienstraße,wikidata,F,Q237955,way
Toni-Sender-Straße,wikidata,F,Q1658326,way
Traute-Richter-Straße,wikidata,F,Q2450482,way
Ulrichstraße,wikidata,F,Q2063827,way
Valeria-Kratina-Weg,wikidata,F,Q59601762,way
Walpurgisstraße,wikidata,F,Q61649,way
Wilhelmine-Reichard-Ring,wikidata,F,Q87410,way
Lili-Elbe-Straße,wikidata,FX,Q1140735,way
Abbestraße,wikidata,M,Q76359,way
Ackermannstraße,wikidata,M,Q102103,way
Adalbert-Stifter-Weg,wikidata,M,Q168542,way
